altitude,Wind (from west),Wind (from south),Wind (vertical),Wind speed,temperature
72.69577610223307,11.411270164480419,0.7876376405149855,0.34639474675334986,11.443664148344064,285.19358043797376
283.97115218429224,13.961684358523161,1.0772733759063275,0.2679212594131375,14.005746315520371,283.1654767469044
499.08125140948636,14.739339275810034,1.2098646710966734,0.5123173934412767,14.797782398772682,281.0926500386208
718.4327224692224,15.44307705219939,1.3054120087326653,0.727867724186102,15.515235118315891,279.03948815794524
942.0348335162769,17.40623690103053,1.7323729058930868,0.7999269026880166,17.510513470184513,277.2882593785728
1404.7579413354686,19.817199652819806,5.848902827788922,1.0136766065040868,20.68716042938741,274.247618226438
1888.8010040301397,19.283555953344017,5.951975928702228,1.0188661034932307,20.206920492703674,270.7281597787625
2935.487541679811,21.072258587490307,4.3803039261909635,0.5906697428304765,21.530815943873524,264.0478255108949
4108.448288050976,22.32838499035397,1.9677221829255838,0.19271028650822217,22.415749912085655,255.84401921991477
5445.557486714357,24.691738563525767,3.666097999750318,0.046263862674812854,24.962459177297983,245.33230657979246
7012.443642059517,33.9140594322455,7.848776761018235,-0.294965442558936,34.81168953714376,235.11820481184344
8962.876095393898,56.284557965547926,12.326025445798853,0.03318374663330537,57.61842994935427,230.14036875278396
10192.216757091832,67.6689730830357,17.409962491941553,0.1501569441481024,69.87287928224582,230.45930760741638
11694.281642370148,78.94746477105363,26.975785133607438,0.19059851962760435,83.42920055440418,228.88857881162883
13584.807557042397,84.95097295350843,28.772167935179287,0.2426067577701387,89.69149520147825,218.75840716438967
16125.991512698345,51.498467395738686,11.41087718660559,0.14035036905820122,52.747700997331165,211.8601233369904
